"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the retaining of settings of the WeedSeeker 2 system.","275397","AGINFRA-694: WeedSeeker2: Settings test","","Tue Jan 28 12:25:28 MST 2025","failed","Tue Jan 28 12:30:04 MST 2025","","test_cases","",""
"The test checks if the 'Auto' text is found for the speed source in the speed configuration settings.","130500","AGINFRA-687: Add radar speed source for WeedSeeker 2","","Tue Jan 28 12:23:18 MST 2025","passed","Tue Jan 28 12:25:28 MST 2025","","test_cases","",""
